"IndivYr","AnimalID","VI95","VI50","MigStatus","Date","AvgDE","DEclass","Age","MAXFAT","RUMP","PSPB","Chest","girth","LactStatus"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-21,2.70750976237391,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-22,2.72113641505698,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-23,2.71928617135582,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-24,2.68590970235724,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-25,3.04269044156303,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-26,2.95380639019651,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-27,2.85697555530643,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-28,2.93012664109057,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-29,2.94269850937509,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-30,2.90692069618939,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-07-31,2.81962959081525,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-01,2.79496345535127,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-02,2.66577214650166,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-03,2.63553021599642,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-04,2.72379010006433,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-05,2.72132285329262,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-06,2.89486224958014,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-07,2.71940697940537,"Marginal",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-08,2.86300950180834,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-09,2.88211390248913,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-10,2.90640662619618,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-11,2.98460779719135,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-12,2.95942978107179,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-13,2.92782767443898,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-14,2.901823911799,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-15,2.87326025986866,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-16,2.94583991012566,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-17,2.83623120024465,"Good",8,0.94,4,"Pregnant",168,163.3436,"No"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident",2015-08-18,2.98310113737429,"Excellent",8,0.94,4,"Pregnant",168,163.3436,"No"
