"IndivYr","AnimalID","VI95","VI50","Dist","MigStatus","MigRank","Date","AvgDE","DEclass","AvgGHerb","AvgGShrub","AvgGForage","IFBF","preg_pspb","LactStatus","girthmass","adjmass","Age","HRarea"
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-11,2.54472560280352,"Marginal",8.10313294053038,6.00021563569125,14.1033485762216,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-12,2.73339065386024,"Marginal",9.94075451469047,4.35380758530413,14.2945620999946,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-13,2.63222841745209,"Marginal",6.51772244297166,12.9785017897043,19.496224232676,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-14,2.66414014949266,"Marginal",15.7857645691548,38.761534535617,54.5472991047718,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-15,2.97457551578684,"Excellent",14.6200844467919,8.12234896797842,22.7424334147703,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-16,2.91014338695371,"Excellent",24.3514093744458,2.17958351781104,26.5309928922568,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-17,2.8866866538935,"Good",14.9762638973713,6.98527744850498,21.9615413458763,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-18,3.00210696051562,"Excellent",23.3177935364057,12.827603034634,36.1453965710397,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-19,2.87406305714409,"Good",26.2833158214982,2.10733725919782,28.390653080696,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-20,2.95955809708749,"Excellent",16.3185285978899,10.330684435016,26.6492130329059,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-21,2.9813829033385,"Excellent",21.9683982527558,1.26025313848843,23.2286513912442,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-22,2.90082698572788,"Excellent",38.9224260762238,8.61266104825186,47.5350871244757,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
"141000-15",141000,0.00790787502243446,0,8209.88211201429,"Intermediate",53,2015-08-23,3.05831266629814,"Excellent",20.4896911280299,7.49507427748271,27.9847654055126,8.38847516,1,"Unknown",272.4236967,189.7187912,5,58.6475543675766
