"IndivYr","AnimalID","VI95","VI50","MigRank","MigStatus","Date","AvgGHerb","AvgGShrub","AvgDE","DEclass","AvgGForage","IFBF","preg_pspb","LactStatus","girthmass","adjmass","Age","HRarea"
"140340-15",140340,0,0,70,"Migrant","2015-08-26",10.1606916393543,37.1336833807845,2.8537471393207,"Good",47.2943750201388,7.399225,1,"Yes",252.8580655,179.9120507,7,3206.01227581406
"140340-15",140340,0,0,70,"Migrant","2015-08-27",7.42302395240489,35.8560834279056,2.79561780071001,"Good",43.2791073803105,7.399225,1,"Yes",252.8580655,179.9120507,7,3206.01227581406
"140340-15",140340,0,0,70,"Migrant","2015-08-28",8.69854875298033,26.3894121837444,2.82511983219844,"Good",35.0879609367247,7.399225,1,"Yes",252.8580655,179.9120507,7,3206.01227581406
"140340-15",140340,0,0,70,"Migrant","2015-08-29",6.69551990658622,39.1437200235589,2.89013628675055,"Good",45.8392399301451,7.399225,1,"Yes",252.8580655,179.9120507,7,3206.01227581406
"140340-15",140340,0,0,70,"Migrant","2015-08-30",7.0841713781238,25.0051127475567,2.82280596528472,"Good",32.0892841256805,7.399225,1,"Yes",252.8580655,179.9120507,7,3206.01227581406
"140340-15",140340,0,0,70,"Migrant","2015-08-31",12.0254511126653,30.5315489393839,2.93642124967428,"Excellent",42.5570000520492,7.399225,1,"Yes",252.8580655,179.9120507,7,3206.01227581406
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-01",11.2581466458258,6.11929801180635,2.77823904927463,"Good",17.3774446576322,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-02",16.0833749853377,3.9398357683904,2.7102100463779,"Marginal",20.0232107537281,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-03",12.5238789089621,7.10569800882758,2.82227805949844,"Good",19.6295769177897,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-04",35.1675255419029,0.77078660463778,2.72495379232366,"Marginal",35.9383121465407,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-05",29.327484006796,0.789518769980312,2.86936681394569,"Good",30.1170027767763,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-06",26.607570734958,33.3106359079449,2.84299203582732,"Good",59.9182066429029,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-07",16.0493028518941,4.16355827260985,2.75260353408489,"Good",20.212861124504,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-08",13.3655146479977,5.80350363306177,2.76965426097126,"Good",19.1690182810595,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
"140400-15",140400,0.272094581372428,0,21,"Intermediate","2015-07-09",12.7338441201553,7.44825839862508,2.80656940499519,"Good",20.1821025187804,6.394201463,1,"Yes",272.4236967,190.9258053,NA,7441.06584128723
